City_final,Latitude,Longitude
Hörstel,52.2973664,7.5862462
Rinteln,52.1873798,9.0804584
Gütersloh,51.9063997,8.3782078
Göttingen,51.5328328,9.9351811
Bayreuth,49.9449711,11.5734327
Ajman City,25.3936557,55.4451432
Hagen,51.3582945,7.473296
Rötgesbüttel,52.4150907,10.5296465
Parchim,53.4258455,11.8475244
Emsdetten,52.174687,7.5301756
Randers,56.4617545,10.0371476
Erding,48.3106834,11.9144357
Boden,46.1229748,18.4846651
Essling,48.2146937,16.5229794
Nesselwang,47.6218885,10.5003482
Braunschweig,52.2646577,10.5236066
Zoetermeer,52.0622531,4.4901218
Karlsfeld,48.2266316,11.4676387
Nünchritz,51.3020569,13.3850546
Obergriesbach,48.4211698,11.0660623
Karlsruhe,49.0068705,8.4034195
Paderborn,51.7177044,8.752653
Remchi,35.0617268,-1.4318326
Großrosseln,49.2038888,6.83536
Neuhemsbach,49.5234456,7.9229398
Un,47.2568626,27.8911104
Herford,52.1152245,8.6711118
Lubrza,52.3071516,15.4411776
Kaltan,53.5195866,87.27957
Piotrków Trybunalski,51.4082625,19.696167
Neumünster,54.0703296,9.9884451
Hennef (Sieg),50.7754417,7.2847945
Wörthsee,48.0727454,11.2001725
Monheim am Rhein,51.0909476,6.8812387
Korlino,54.50927,16.62086
Taraz,42.9015945,71.3769302
Troisdorf,50.8153071,7.1593271
Henstedt-Ulzburg,53.7926888,9.9808134
Ascheberg,54.1483357,10.3423409
Białystok,53.132398,23.1591679
Königsmoos,48.666702,11.2161655
Warburg,51.4886533,9.1488385
Stade,53.599794,9.475438
Großbreitenbach,50.5806039,11.004454
Bad Driburg,51.7366427,9.0175012
Sollstedt,51.4134885,10.5359288
Cloppenburg,52.8461339,8.0438783
Landshut,48.536217,12.1516551
Kars,40.4558435,42.9979531
Steinfurt,52.138683,7.3678356
Tata,47.6516214,18.3282083
Gero,35.8064271,137.2433187
Astana,51.1159933,71.4677059
Dąbrowa Górnicza,50.3308692,19.2078918
Schwanewede,53.2254676,8.5943316
Glendale,34.1469416,-118.2478471
Hückelhoven,51.0552368,6.2247322
Cheremkhovo,53.1372718,103.089532
Schwarzheide,51.4858276,13.8306977
Böhlen,51.2027284,12.3859676
Plainfield,41.6086711,-88.2054345
Hettenshausen,48.5003308,11.5049302
Bünde,52.2004727,8.5828944
George,30.857421,-88.6537118
Lichtenfels,50.14568,11.06382
Fulda,50.5542328,9.6770448
